City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,lihue,21.9789,-159.3672,24.77,85,100,5.66,US,1720808424
277,surigao,9.7839,125.4889,25.69,87,99,1.35,PH,1720808425
278,sinabang,2.4803,96.3801,26.24,81,98,1.0,ID,1720808426
279,sao tome,0.3365,6.7273,24.59,73,71,4.64,ST,1720808427
280,emerald,-23.5333,148.1667,14.08,77,23,3.77,AU,1720808428
281,czersk,53.7959,17.9765,18.59,81,89,4.98,PL,1720808429
282,saudarkrokur,65.7461,-19.6394,15.87,69,90,10.79,IS,1720808431
283,bela,25.9333,81.9833,31.42,66,57,2.42,IN,1720808432
284,kruisfontein,-34.0033,24.7314,13.82,61,73,0.35,ZA,1720808433
285,ketchikan,55.3422,-131.6461,16.3,72,100,4.12,US,1720808434
286,thurso,58.5927,-3.5259,13.14,97,100,4.22,GB,1720808436
287,lubao,14.9167,120.55,26.84,88,92,0.95,PH,1720808437
288,minas de marcona,-15.2119,-75.1103,16.99,47,21,6.76,PE,1720808438
289,amlagora,22.8333,87.3333,30.88,66,74,3.89,IN,1720808440
290,opuwo,-18.0607,13.84,17.7,21,70,2.77,NA,1720808441
291,broken hill,-31.95,141.4333,7.14,89,4,3.87,AU,1720808443
292,mili,6.0815,171.735,28.39,79,100,6.1,MH,1720808444
293,blonie,52.1985,20.6171,30.05,52,94,4.76,PL,1720808445
294,plettenberg bay,-34.0527,23.3716,15.17,53,100,2.87,ZA,1720808446
295,solleftea,63.1667,17.2667,20.92,65,100,1.99,SE,1720808447
296,namibe,-15.1961,12.1522,17.17,88,80,1.63,AO,1720808449
297,salinopolis,-0.6136,-47.3561,26.8,81,81,5.23,BR,1720808450
298,crucecita,-28.95,-58.9833,12.93,38,0,3.72,AR,1720808451
299,daun,50.2,6.8333,15.88,77,90,5.66,DE,1720808452
300,kirensk,57.7853,108.1119,19.18,99,97,2.43,RU,1720808454
301,constantia,44.1833,28.65,27.61,54,0,1.21,RO,1720808455
302,lys'va,58.1086,57.8053,11.82,98,100,4.05,RU,1720808288
303,happy valley-goose bay,53.3168,-60.3315,31.17,22,40,8.23,CA,1720808382
304,daru,-9.0763,143.2092,24.09,82,93,5.55,PG,1720808460
305,bredasdorp,-34.5322,20.0403,10.11,81,44,3.31,ZA,1720808461
306,natal,-5.795,-35.2094,27.12,74,75,9.26,BR,1720808377
307,san luis de la loma,17.2706,-100.8939,30.69,65,77,2.77,MX,1720808463
308,manaus,-3.1019,-60.025,33.28,62,40,4.63,BR,1720807828
309,tchamba,9.0333,1.4167,23.48,93,95,1.51,TG,1720808467
310,choibalsan,48.0667,114.5,22.07,58,55,3.89,MN,1720808468
311,chibougamau,49.9168,-74.3659,27.79,30,0,6.69,CA,1720808469
312,alakurtti,66.9672,30.3491,13.0,99,100,1.17,RU,1720808470
313,banes,20.9625,-75.7186,32.17,58,88,6.63,CU,1720808471
314,banposh,22.25,84.8,28.12,74,92,1.75,IN,1720808474
315,port-vila,-17.7338,168.3219,22.78,94,100,1.54,VU,1720808475
316,bafq,31.6128,55.4107,35.21,14,0,5.93,IR,1720808476
317,urangan,-25.3,152.9,16.47,63,14,4.12,AU,1720808477
318,carnarvon,-24.8667,113.6333,18.93,42,100,5.59,AU,1720808478
319,nuuk,64.1835,-51.7216,5.34,100,100,2.06,GL,1720808480
320,atuncolla,-15.6833,-70.15,15.03,13,8,9.86,PE,1720808481
321,masaka,-0.3338,31.7341,19.35,75,71,2.48,UG,1720808482
322,puerto maldonado,-12.6,-69.1833,18.22,77,100,3.6,PE,1720808484
323,port arthur,38.8,121.2667,22.12,79,87,4.19,CN,1720808485
324,ambon,-3.6954,128.1814,25.49,95,40,1.03,ID,1720808487
325,port lincoln,-34.7333,135.8667,11.29,85,5,2.47,AU,1720808488
326,amga,60.8953,131.9608,14.77,85,55,1.01,RU,1720808489
327,centar zupa,41.4681,20.5589,28.85,49,81,1.83,MK,1720808490
328,caleta de carquin,-11.0925,-77.6267,19.2,69,38,5.2,PE,1720808491
329,ocean shores,46.9737,-124.1563,15.01,87,100,2.57,US,1720808462
330,laibin,23.7,109.2667,26.54,90,99,1.83,CN,1720808494
331,duba,27.3513,35.6901,34.95,41,0,5.19,SA,1720808495
332,alaghsas,17.0187,8.0168,29.94,42,20,4.63,NE,1720808496
333,val-d'or,48.1002,-77.7828,28.05,32,20,3.09,CA,1720808498
334,penhalonga,-18.8911,32.6978,13.7,23,2,1.41,ZW,1720808499
335,cill airne,52.05,-9.5167,14.85,75,99,2.64,IE,1720808501
336,mossel bay,-34.1831,22.146,12.96,58,80,5.55,ZA,1720808502
337,chernyshevskiy,63.0128,112.4714,16.07,80,3,1.69,RU,1720808503
338,abaete,-19.16,-45.4458,30.45,23,0,2.42,BR,1720808413
339,guanica,17.9716,-66.908,33.4,77,10,8.28,PR,1720808505
340,hacienda huancane,-15.8222,-70.8856,8.57,10,11,11.73,PE,1720808506
341,akureyri,65.6835,-18.0878,18.96,52,40,15.43,IS,1720808508
342,yoko,5.5333,12.3167,19.86,92,95,0.63,CM,1720808509
343,ujae,8.9322,165.7642,28.47,79,100,8.28,MH,1720808510
344,santarem,-2.4431,-54.7083,31.07,70,75,5.14,BR,1720808511
345,ola,59.5833,151.2833,11.67,76,6,1.89,RU,1720808512
346,mastic beach,40.7668,-72.8521,27.27,88,100,5.66,US,1720808513
347,dudinka,69.4058,86.1778,18.64,75,100,3.16,RU,1720808515
348,batticaloa,7.7102,81.6924,28.23,72,50,2.26,LK,1720808516
349,barra de santo antonio,-9.4047,-35.5072,27.6,77,9,7.39,BR,1720808517
350,marsh harbour,26.5412,-77.0636,28.99,73,99,4.5,BS,1720808518
351,itoman,26.1247,127.6694,29.21,91,20,5.66,JP,1720808519
352,korocha,50.8107,37.1953,26.4,51,0,3.69,RU,1720808520
353,barah,13.7,30.3667,26.94,59,98,3.5,SD,1720808521
354,monze,-16.2833,27.4833,15.91,41,2,2.74,ZM,1720808523
355,northam,51.0333,-4.2167,17.01,80,78,4.21,GB,1720808524
356,nieuw amsterdam,5.8833,-55.0833,34.01,55,40,0.0,SR,1720808525
357,xai-xai,-25.0519,33.6442,20.91,34,0,2.87,MZ,1720808526
358,iquique,-20.2208,-70.1431,17.02,67,7,4.26,CL,1720807858
359,kavaratti,10.5669,72.642,27.43,86,100,6.65,IN,1720808529
360,okhotsk,59.3833,143.3,13.4,74,92,1.48,RU,1720808530
361,kerikeri,-35.2268,173.9474,6.06,90,100,2.24,NZ,1720808531
362,zahir pir,28.8124,70.524,39.25,31,3,9.49,PK,1720808532
